Test #,4,5,6
1,37.5,75.0,87.5
2,37.5,50.0,87.5
3,37.5,62.5,87.5
4,37.5,62.5,75.0
5,37.5,37.5,37.5
6,50.0,62.5,87.5
7,50.0,50.0,62.5
8,50.0,62.5,87.5
9,37.5,37.5,37.5
10,37.5,37.5,37.5
11,50.0,50.0,50.0
12,62.5,50.0,75.0
13,50.0,50.0,75.0
14,12.5,12.5,12.5
15,50.0,75.0,75.0
16,37.5,37.5,37.5
17,50.0,75.0,75.0
18,37.5,50.0,75.0
19,25.0,37.5,50.0
20,37.5,50.0,50.0
21,62.5,50.0,62.5
22,37.5,37.5,62.5
23,37.5,50.0,62.5
24,37.5,75.0,87.5
25,37.5,62.5,75.0
26,62.5,50.0,75.0
27,25.0,62.5,87.5
28,37.5,50.0,75.0
29,50.0,50.0,50.0
30,37.5,62.5,50.0
31,12.5,12.5,50.0
32,37.5,50.0,50.0
33,50.0,50.0,62.5
34,37.5,50.0,87.5
35,37.5,37.5,12.5
36,37.5,50.0,75.0
37,37.5,50.0,75.0
38,62.5,50.0,75.0
39,37.5,62.5,75.0
40,37.5,50.0,87.5
41,37.5,62.5,87.5
42,50.0,62.5,62.5
43,50.0,75.0,87.5
44,50.0,62.5,87.5
45,50.0,50.0,75.0
46,25.0,50.0,75.0
47,62.5,50.0,50.0
48,37.5,50.0,75.0
49,12.5,37.5,62.5
50,50.0,50.0,75.0
