Test #,4,5,6
1,62.5,75.0,62.5
2,37.5,87.5,62.5
3,62.5,62.5,62.5
4,12.5,62.5,62.5
5,50.0,75.0,75.0
6,50.0,75.0,62.5
7,12.5,50.0,50.0
8,75.0,75.0,87.5
9,25.0,25.0,25.0
10,25.0,62.5,75.0
11,25.0,75.0,62.5
12,25.0,25.0,25.0
13,37.5,75.0,37.5
14,50.0,62.5,75.0
15,25.0,62.5,75.0
16,25.0,25.0,50.0
17,37.5,62.5,75.0
18,37.5,62.5,50.0
19,75.0,62.5,50.0
20,37.5,37.5,87.5
21,75.0,50.0,75.0
22,75.0,75.0,75.0
23,37.5,62.5,50.0
24,75.0,75.0,87.5
25,50.0,75.0,75.0
26,50.0,75.0,62.5
27,50.0,75.0,75.0
28,50.0,75.0,75.0
29,50.0,75.0,75.0
30,25.0,25.0,25.0
31,50.0,50.0,75.0
32,50.0,75.0,75.0
33,37.5,62.5,75.0
34,62.5,62.5,62.5
35,62.5,75.0,75.0
36,62.5,50.0,62.5
37,62.5,75.0,50.0
38,50.0,75.0,75.0
39,75.0,75.0,62.5
40,75.0,62.5,75.0
41,50.0,75.0,87.5
42,75.0,62.5,75.0
43,75.0,62.5,75.0
44,37.5,75.0,75.0
45,37.5,50.0,62.5
46,25.0,75.0,75.0
47,50.0,50.0,62.5
48,62.5,75.0,62.5
49,62.5,62.5,75.0
50,75.0,87.5,50.0
