Test #,4,5,6
1,50.0,87.5,75.0
2,87.5,75.0,87.5
3,62.5,87.5,87.5
4,75.0,87.5,87.5
5,25.0,25.0,25.0
6,87.5,87.5,100.0
7,75.0,75.0,75.0
8,87.5,87.5,87.5
9,12.5,62.5,75.0
10,62.5,62.5,62.5
11,62.5,25.0,87.5
12,87.5,75.0,75.0
13,50.0,75.0,100.0
14,62.5,62.5,75.0
15,87.5,75.0,87.5
16,87.5,87.5,75.0
17,75.0,75.0,87.5
18,62.5,75.0,100.0
19,100.0,75.0,87.5
20,100.0,87.5,100.0
21,87.5,75.0,87.5
22,87.5,87.5,100.0
23,100.0,100.0,100.0
24,75.0,100.0,100.0
25,87.5,87.5,100.0
26,75.0,62.5,75.0
27,75.0,87.5,100.0
28,75.0,75.0,87.5
29,75.0,87.5,100.0
30,75.0,75.0,100.0
31,75.0,50.0,75.0
32,75.0,75.0,75.0
33,75.0,75.0,87.5
34,75.0,75.0,87.5
35,75.0,62.5,62.5
36,75.0,87.5,87.5
37,25.0,100.0,100.0
38,62.5,50.0,50.0
39,87.5,100.0,100.0
40,75.0,87.5,75.0
41,87.5,87.5,100.0
42,62.5,87.5,75.0
43,75.0,75.0,100.0
44,62.5,75.0,100.0
45,100.0,100.0,87.5
46,62.5,87.5,75.0
47,87.5,100.0,87.5
48,75.0,87.5,87.5
49,62.5,62.5,75.0
50,87.5,87.5,100.0
