Fuel System 1  LP 1 ,Fuel System 2  LP 1,Fuel System 1 High Pressure Rail,Fuel System 2  High Pressure Rail,Fuel System 1  Injector Pump ,Fuel System 2  Injector Pump ,Fuel System 1  Service Pump ,Fuel System 2  Service Pump ,Fuel System 1  HP Relief Flow,Fuel System 2  HP Relief Flow,Fuel System 1  Injector Flow,Fuel System 2  Injector Flow,Fuel System 1  Service Flow,Fuel System 2  Service Flow,Cooling System 1 Delta Temp,Cooling System 2 Delta Temp,Cooling System 1 Delta Pressure,Cooling System 2 Delta Pressure,Cooling System 1 Flow,Cooling System 2 Flow,Cooling System 1 Service Pump ,Cooling System 2 Service Pump 
2.8880703125,3.1170234375000003,140.63093906093908,148.23146353646354,4.544462890625001,4.58792578125,2.272927734375,2.38920703125,6.245438061938061,6.524047972304649,7.303501978239367,6.964295704295704,11.54584065934066,11.216531968031966,5.88835582112743,4.633026725489351,5.311716796875,5.211078125,1.2291483679525224,1.5412453016815035,5.288501953125,5.053531250000001
2.6216640625,2.6248125,140.57638861138864,148.4887637362637,4.55458984375,4.597310546875001,2.2339121093750003,2.4238124999999995,6.251991508491509,6.542643856143856,7.35305044955045,6.986477022977024,11.241046453546453,10.853052447552448,2.06886607512628,2.3085588037925966,2.4178691406250006,2.3713125,6.848078382426361,7.13554518222666,4.902048828125,4.769755859375
2.541669921875,2.5877617187499995,140.65369995056844,146.10195804195806,4.551001953125,4.641390625,2.231923828125,2.423021484375,6.256071675729115,6.546675234799801,7.366545229856649,6.958267232767233,11.164771626297576,10.734606524962924,2.124140710127012,2.355781790730269,2.4865078124999997,2.4666269531249996,6.751914085914087,6.997016983016983,4.901791015624999,4.769689453124999
2.4338046875000003,2.425705078125,140.5591113330005,148.19633799301047,4.552029296875,4.604033203125001,2.234314453125,2.4286425781250003,6.245784323514728,6.521477783325013,7.3012765851223165,7.002327009485772,11.046795806290564,10.552772341487769,2.110581973215975,2.2732142388118213,2.6560683593750003,2.6424238281249997,6.514381927109335,6.75332800798802,4.913328125,4.782162109374999
2.009498106060606,1.9227140151515152,139.35452230843842,146.4449636275461,4.564066287878788,4.62111553030303,2.324723484848485,2.4555378787878785,5.935619187469408,6.432924620655898,7.325139670223085,6.964283705140641,10.58688942774006,9.998013094083412,2.1863611621447845,2.261646323223598,2.8562949218749996,2.798388671875,6.2250352422907484,6.5292398433675976,4.931070312499999,4.7929140625
1.581869140625,1.3100332031249995,136.63581418581416,143.405034965035,4.57751953125,4.639861328124999,2.347197265625,2.490708984375,6.221573926073926,6.318942057942058,7.233682817182817,6.886155844155845,10.083151848151848,9.025765351972042,2.247516485355682,2.3341752884081295,3.04878515625,3.1030468749999995,5.945068397403895,6.056997503744383,4.94840625,4.814525390625
0.75928125,0.43287109375,133.69281859070466,140.808075962019,4.611203124999999,4.664984375,2.3222578125,2.555580078125,7.0448720639680165,6.475234382808596,7.0977976011994,6.826408295852074,8.911682658670664,7.669675162418791,2.3295938555646103,2.446096783725661,3.3636718750000005,3.43507421875,5.455401799100451,5.521906546726637,4.986291015625,4.843533203125
2.881916015625,3.1111484375000003,140.7032842157842,148.3318081918082,4.5370898437500005,4.584486328125,2.272896484375,2.384728515625,6.23326973026973,6.522112387612387,7.368567932067932,6.91793956043956,11.5058991008991,11.184894105894106,2.6133598625499417,2.632495862139571,3.8244453125,3.8738886718750005,4.68450999000999,4.698798201798202,5.04159375,4.883470703125
2.88105859375,3.115984375,140.66043768545993,148.30844708209696,4.5374921875,4.5857304687500005,2.273419921875,2.3870644531250003,6.234758688203622,6.5505222551928775,7.370860039564787,6.974024727992087,11.534995054401584,11.19916221562809,3.1471762849310636,3.1305865537076514,4.330220703125001,4.56469921875,3.739116005873716,3.300103279490944,5.111654296875,4.96184765625
2.882515625,3.116296875,140.61775336994512,148.27895906140787,4.5415195312500005,4.58783984375,2.273169921875,2.38757421875,6.238368447329007,6.51731984007996,7.360910634048926,6.9680993509735405,11.533228157763354,11.218020469296055,4.137582907747046,4.090071612380154,4.84790625,5.048970703125001,2.6259760119940028,2.0669970014992507,5.193017578125,5.02971484375
