Test #,4,5,6
1,87.5,75.0,50.0
2,50.0,87.5,62.5
3,62.5,62.5,62.5
4,62.5,50.0,62.5
5,62.5,25.0,87.5
6,62.5,87.5,62.5
7,50.0,37.5,62.5
8,62.5,12.5,62.5
9,25.0,25.0,25.0
10,75.0,75.0,62.5
11,25.0,75.0,87.5
12,25.0,25.0,25.0
13,37.5,75.0,75.0
14,50.0,62.5,62.5
15,62.5,50.0,75.0
16,25.0,25.0,37.5
17,50.0,50.0,75.0
18,50.0,75.0,62.5
19,75.0,62.5,87.5
20,62.5,37.5,62.5
21,75.0,50.0,50.0
22,62.5,62.5,75.0
23,62.5,87.5,37.5
24,50.0,37.5,62.5
25,62.5,75.0,75.0
26,37.5,62.5,62.5
27,62.5,75.0,62.5
28,62.5,100.0,62.5
29,50.0,62.5,62.5
30,62.5,75.0,100.0
31,50.0,75.0,50.0
32,50.0,50.0,50.0
33,50.0,62.5,62.5
34,75.0,62.5,62.5
35,62.5,62.5,62.5
36,75.0,62.5,75.0
37,87.5,100.0,100.0
38,50.0,62.5,62.5
39,62.5,75.0,75.0
40,50.0,87.5,62.5
41,75.0,62.5,75.0
42,62.5,87.5,75.0
43,62.5,75.0,37.5
44,50.0,62.5,62.5
45,25.0,62.5,50.0
46,75.0,62.5,50.0
47,62.5,75.0,62.5
48,62.5,62.5,50.0
49,50.0,50.0,62.5
50,50.0,62.5,75.0
