Test #,4,5,6
1,0.0,25.0,25.0
2,12.5,37.5,0.0
3,25.0,12.5,37.5
4,0.0,37.5,25.0
5,0.0,12.5,0.0
6,0.0,25.0,12.5
7,12.5,12.5,25.0
8,37.5,25.0,12.5
9,37.5,12.5,37.5
10,37.5,12.5,25.0
11,25.0,37.5,25.0
12,12.5,37.5,12.5
13,12.5,37.5,37.5
14,12.5,12.5,25.0
15,0.0,12.5,37.5
16,37.5,12.5,25.0
17,0.0,25.0,37.5
18,0.0,0.0,37.5
19,12.5,25.0,12.5
20,0.0,25.0,0.0
21,37.5,25.0,37.5
22,25.0,37.5,0.0
23,12.5,37.5,25.0
24,25.0,37.5,37.5
25,12.5,25.0,25.0
26,25.0,37.5,12.5
27,0.0,25.0,37.5
28,37.5,0.0,0.0
29,25.0,37.5,37.5
30,25.0,37.5,0.0
31,12.5,25.0,0.0
32,37.5,12.5,25.0
33,12.5,25.0,37.5
34,37.5,0.0,25.0
35,0.0,12.5,0.0
36,25.0,0.0,0.0
37,12.5,12.5,12.5
38,25.0,12.5,25.0
39,12.5,25.0,0.0
40,0.0,25.0,0.0
41,37.5,12.5,12.5
42,12.5,12.5,25.0
43,12.5,25.0,12.5
44,25.0,25.0,37.5
45,25.0,25.0,25.0
46,25.0,37.5,37.5
47,37.5,37.5,0.0
48,0.0,0.0,37.5
49,25.0,25.0,25.0
50,25.0,25.0,25.0
