Fuel System 1  LP 1 ,Fuel System 2  LP 1,Fuel System 1 High Pressure Rail,Fuel System 2  High Pressure Rail,Fuel System 1  Injector Pump ,Fuel System 2  Injector Pump ,Fuel System 1  Service Pump ,Fuel System 2  Service Pump ,Fuel System 1  HP Relief Flow,Fuel System 2  HP Relief Flow,Fuel System 1  Injector Flow,Fuel System 2  Injector Flow,Fuel System 1  Service Flow,Fuel System 2  Service Flow,Cooling System 1 Delta Temp,Cooling System 2 Delta Temp,Cooling System 1 Delta Pressure,Cooling System 2 Delta Pressure,Cooling System 1 Flow,Cooling System 2 Flow,Cooling System 1 Service Pump ,Cooling System 2 Service Pump 
2.768021484375,3.0668085937500003,146.27306571146246,152.35650197628456,4.559976562499999,4.601884765625,2.24941015625,2.431666015625,5.592592814371256,6.294205039525692,6.318694664031621,6.728329051383399,11.152743512974052,11.131932312252966,4.429163161731978,3.616586840044519,5.3170546875,5.3272636718749995,1.1607144268774705,1.063490118577075,5.289201171875001,5.10472265625
2.675619140625,2.6746171875,146.71659840159842,149.8977997002997,4.5863496093750005,4.617748046875,2.2586796875,2.45741015625,5.69893006993007,6.392664835164835,6.539473026973028,6.786215475024487,11.249374625374625,10.766606893106893,0.9846685186008841,0.8433302835917402,2.497597656250001,2.4625214843750003,6.995624375624376,7.245468031968032,4.966619140625,4.840619140625
2.622388671875,2.6626132812500005,146.75622188905547,149.84781859070463,4.577849609375,4.614453125,2.2588671875000004,2.45631640625,5.682842078960519,6.3829980009995,6.535408295852074,6.802825587206398,11.217615192403798,10.690969015492254,1.157606071393534,0.9808055837754956,2.7074257812500004,2.68726171875,5.712186906546727,5.344390304847576,4.784505859375,4.69934375
2.533818359375,2.548345703125,146.7352848575712,149.64981509245376,4.581123046875,4.6138984375,2.260486328125,2.467056640625,5.687797101449275,6.367514485514485,6.4998036963036965,6.790657171414294,11.1271824087956,10.562963018490755,1.1938023752583398,1.0822085116318902,2.81937890625,2.8206855468749996,5.579007996001998,5.1997211394302845,4.80330078125,4.71342578125
2.41988671875,2.33630859375,146.6820139930035,149.4167066466767,4.58661328125,4.6208359375,2.263576171875,2.478986328125,5.65867816091954,6.351362456315527,6.531706646676661,6.747987019470794,11.00143428285857,10.33312543728136,1.1907545397772985,1.0774776321151691,3.0536738281250004,2.953451171875,5.278054472763618,5.027351824087956,4.84124609375,4.727169921875
2.04419921875,1.904802734375,146.47356754082136,148.84195942602673,4.606173828125,4.635716796875,2.28041796875,2.500732421875,5.677160316674913,6.359050449550449,6.4840994005994,6.7632939139040085,10.586523008411678,9.84041365660564,1.2722968805660884,1.0954970151538284,3.2959414062500003,3.2674687500000004,4.941946561108362,4.594253834735279,4.87795703125,4.764283203125
1.6753007812499998,1.42220703125,146.2858116883117,148.3257792207792,4.61882421875,4.650279296875,2.370615234375,2.524810546875,5.668603396603396,6.347144355644356,6.507703296703297,6.765741758241758,9.905385452746165,9.036624443344875,1.4344642657570787,1.11261920948699,3.6776933593750005,3.62831640625,4.415046453546455,4.116337162837162,4.9442734375,4.807728515625
1.074083984375,0.7084609374999999,145.95949009900988,147.4301633663366,4.6507890625,4.717775390625,2.33375390625,2.575755859375,5.661601485148514,6.332974257425743,6.510512871287129,6.693264603095357,9.3228099009901,8.021254118821767,1.6872519881097752,1.3115811731754228,4.18421875,4.0593496093749994,3.6170613861386154,3.487078217821782,5.035296875,4.873232421875
0.4884453124999999,0.262734375,143.7866033966034,146.4001434223541,4.680878906249999,4.701017578125,2.3733144531250003,2.62705859375,5.6392784371909,6.274928571428572,6.461933566433567,6.675593406593407,8.167621878121878,7.146615232443126,2.1313902681237096,1.7336589173267143,4.611556640625,4.652919921875,2.87843175074184,2.502179525222552,5.11695703125,4.97508203125
2.923677734375,3.023107954545455,145.17213385063044,149.6639590614079,4.578798828125,4.607310546875,2.297921875,2.4194394531250003,5.6553954068896655,6.372284073889166,6.514316025961058,6.759684473290066,11.486916625062408,11.178719420868696,3.0168040136332905,2.4199985303525757,5.1823828125,5.0629160156249995,1.618935097353969,1.6493799301048426,5.25137109375,5.048080078125
