Run,F1_HP_Clog_Type,F1_HP_Clog_Value1,F1_HP_Clog_Value2,F1_HP_Leak_Time,F1_HP_Leak_Profile,F1_LP_Clog_Type,F1_LP_Clog_Value1,F1_LP_Clog_Value2,F1_LP_Clog_LeakTime,F1_LP_Leak_Profile,F2_HP_Clog_Type,F2_HP_Clog_Value1,F2_HP_Clog_Value2,F2_HP_Clog_LeakTime,F2_HP_Clog_Profile,F2_LP_Clog_Type,F2_LP_Clog_Value1,F2_LP_Clog_Value2,F2_LP_Clog_LeakTime,F2_LP_Clog_Profile,C1_Clog_Type,C1_Clog_Value1,C1_Clog_Value2,C1_Clog_LeakTime,C1_Clog_LeakProfile,C2_Clog_Type,C2_Clog_Value1,C2_Clog_Value2,C2_Clog_LeakTime,C2_Clog_Profile,F1_HP_RampRate,F1_HP_RampTime,F1_LP_RampRate,F1_LP_RampTime,F2_HP_RampRate,F2_HP_RampTime,F2_LP_RampRate,F2_LP_RampTime,C1_RampRate,C1_RampTime,C1_RampRate1,C1_RampTime1,ProfileCount,Run_Count,RunCount
1,0,0.1,0,0,0,0,1.50329884338091,0,0,0,0,0.1,0,0,0,0,1.50329884338091,0,0,0,0,0.1,0,0,0,0,1.3056745012923,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
2,0,0.1,0,0,0,0,1.66255671012877,0,0,0,0,0.1,0,0,0,0,1.66255671012877,0,0,0,0,2.10797947013807,0,1,0,0,2.60218699587071,0,1,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
3,0,0.1,0,0,0,0,1.84372766988588,0,0,0,0,0.1,0,0,0,0,1.84372766988588,0,0,0,0,2.46796269006905,0,1,0,0,3.01463993368136,0,1,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
4,0,0.1,0,0,0,0,2.17509477485873,0,0,0,0,0.1,0,0,0,0,2.17509477485873,0,0,0,0,2.93968484633924,0,1,0,0,3.7487291908074,0,1,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
5,0,0.1,0,0,0,0,2.75218055492522,0,0,0,0,0.1,0,0,0,0,2.75218055492522,0,0,0,0,4.01273725142738,0,1,0,0,4.74086437520758,0,1,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
6,0,0.1,0,0,0,0,3.7787150511755,0,0,0,0,0.1,0,0,0,0,3.7787150511755,0,0,0,0,5.02741946568622,0,1,0,0,5.51902519584078,0,1,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
7,0,0.1,0,0,0,0,5.30919034003096,0,0,0,0,0.1,0,0,0,0,5.30919034003096,0,0,0,0,5.74699448209722,0,1,0,0,6.17382243817429,0,1,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
8,0,0.1,0,0,0,0,6,0,0,0,0,0.1,0,0,0,0,6,0,0,0,0,6.33950984438198,0,1,0,0,6.65191007964483,0,1,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.80612772447516,0,1,0,0,7.07942379470147,0,1,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.15177284942218,0,1,0,0,7.38329768473316,0,1,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
