Run,F1_HP_Clog_Type,F1_HP_Clog_Value1,F1_HP_Clog_Value2,F1_HP_Leak_Time,F1_HP_Leak_Profile,F1_LP_Clog_Type,F1_LP_Clog_Value1,F1_LP_Clog_Value2,F1_LP_Clog_LeakTime,F1_LP_Leak_Profile,F2_HP_Clog_Type,F2_HP_Clog_Value1,F2_HP_Clog_Value2,F2_HP_Clog_LeakTime,F2_HP_Clog_Profile,F2_LP_Clog_Type,F2_LP_Clog_Value1,F2_LP_Clog_Value2,F2_LP_Clog_LeakTime,F2_LP_Clog_Profile,C1_Clog_Type,C1_Clog_Value1,C1_Clog_Value2,C1_Clog_LeakTime,C1_Clog_LeakProfile,C2_Clog_Type,C2_Clog_Value1,C2_Clog_Value2,C2_Clog_LeakTime,C2_Clog_Profile,F1_HP_RampRate,F1_HP_RampTime,F1_LP_RampRate,F1_LP_RampTime,F2_HP_RampRate,F2_HP_RampTime,F2_LP_RampRate,F2_LP_RampTime,C1_RampRate,C1_RampTime,C1_RampRate1,C1_RampTime1,ProfileCount,Run_Count,RunCount
1,0,0.1,0,0,0,0,1.5022096186135,0,0,0,0,0.1,0,0,0,0,1.5022096186135,0,0,0,0,0.1,0,0,0,0,1.35528189362623,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
2,0,0.1,0,0,0,0,1.66047381249274,0,0,0,0,0.1,0,0,0,0,1.66047381249274,0,0,0,0,1.76314825890485,0,0,0,0,2.39657781359261,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
3,0,0.1,0,0,0,0,1.83977285523475,0,0,0,0,0.1,0,0,0,0,1.83977285523475,0,0,0,0,3.10259564333798,0,0,0,0,4.02230102450101,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
4,0,0.1,0,0,0,0,2.16031243723357,0,0,0,0,0.1,0,0,0,0,2.16031243723357,0,0,0,0,4.64364704477206,0,0,0,0,5.72226512495933,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
5,0,0.1,0,0,0,0,2.73433924398433,0,0,0,0,0.1,0,0,0,0,2.73433924398433,0,0,0,0,5.77147144993692,0,0,0,0,6.50435285185609,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
6,0,0.1,0,0,0,0,3.68642618838706,0,0,0,0,0.1,0,0,0,0,3.68642618838706,0,0,0,0,6.5309792816237,0,0,0,0,7.07115420099483,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
7,0,0.1,0,0,0,0,5.26911615222754,0,0,0,0,0.1,0,0,0,0,5.26911615222754,0,0,0,0,7.01856022519267,0,0,0,0,7.53414062396171,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
8,0,0.1,0,0,0,0,6,0,0,0,0,0.1,0,0,0,0,6,0,0,0,0,7.5771403770128,0,0,0,0,7.8,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,7.8,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
