Run,F1_HP_Clog_Type,F1_HP_Clog_Value1,F1_HP_Clog_Value2,F1_HP_Leak_Time,F1_HP_Leak_Profile,F1_LP_Clog_Type,F1_LP_Clog_Value1,F1_LP_Clog_Value2,F1_LP_Clog_LeakTime,F1_LP_Leak_Profile,F2_HP_Clog_Type,F2_HP_Clog_Value1,F2_HP_Clog_Value2,F2_HP_Clog_LeakTime,F2_HP_Clog_Profile,F2_LP_Clog_Type,F2_LP_Clog_Value1,F2_LP_Clog_Value2,F2_LP_Clog_LeakTime,F2_LP_Clog_Profile,C1_Clog_Type,C1_Clog_Value1,C1_Clog_Value2,C1_Clog_LeakTime,C1_Clog_LeakProfile,C2_Clog_Type,C2_Clog_Value1,C2_Clog_Value2,C2_Clog_LeakTime,C2_Clog_Profile,F1_HP_RampRate,F1_HP_RampTime,F1_LP_RampRate,F1_LP_RampTime,F2_HP_RampRate,F2_HP_RampTime,F2_LP_RampRate,F2_LP_RampTime,C1_RampRate,C1_RampTime,C1_RampRate1,C1_RampTime1,ProfileCount,Run_Count,RunCount
1,0,0.1,0,0,0,0,1.502209619,0,0,0,0,0.1,0,0,0,0,1.502209619,0,0,0,0,1.019318986,0,0,0,0,1.712463278,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,8
2,0,0.1,0,0,0,0,1.660473812,0,0,0,0,0.1,0,0,0,0,1.660473812,0,0,0,0,2.739343485,0,0,0,0,3.532728369,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,8
3,0,0.1,0,0,0,0,1.839772855,0,0,0,0,0.1,0,0,0,0,1.839772855,0,0,0,0,4.851107297,0,0,0,0,5.923521308,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,8
4,0,0.1,0,0,0,0,2.160312437,0,0,0,0,0.1,0,0,0,0,2.160312437,0,0,0,0,6.203669213,0,0,0,0,6.79377075,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,8
5,0,0.1,0,0,0,0,2.734339244,0,0,0,0,0.1,0,0,0,0,2.734339244,0,0,0,0,6.962563894,0,0,0,0,7.489957112,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,8
6,0,0.1,0,0,0,0,3.686426188,0,0,0,0,0.1,0,0,0,0,3.686426188,0,0,0,0,7.6,0,0,0,0,7.8,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,8
7,0,0.1,0,0,0,0,5.269116152,0,0,0,0,0.1,0,0,0,0,5.269116152,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,8
8,0,0.1,0,0,0,0,6,0,0,0,0,0.1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,8
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,8
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,8
