Run,F1_HP_Clog_Type,F1_HP_Clog_Value1,F1_HP_Clog_Value2,F1_HP_Leak_Time,F1_HP_Leak_Profile,F1_LP_Clog_Type,F1_LP_Clog_Value1,F1_LP_Clog_Value2,F1_LP_Clog_LeakTime,F1_LP_Leak_Profile,F2_HP_Clog_Type,F2_HP_Clog_Value1,F2_HP_Clog_Value2,F2_HP_Clog_LeakTime,F2_HP_Clog_Profile,F2_LP_Clog_Type,F2_LP_Clog_Value1,F2_LP_Clog_Value2,F2_LP_Clog_LeakTime,F2_LP_Clog_Profile,C1_Clog_Type,C1_Clog_Value1,C1_Clog_Value2,C1_Clog_LeakTime,C1_Clog_LeakProfile,C2_Clog_Type,C2_Clog_Value1,C2_Clog_Value2,C2_Clog_LeakTime,C2_Clog_Profile,F1_HP_RampRate,F1_HP_RampTime,F1_LP_RampRate,F1_LP_RampTime,F2_HP_RampRate,F2_HP_RampTime,F2_LP_RampRate,F2_LP_RampTime,C1_RampRate,C1_RampTime,C1_RampRate1,C1_RampTime1,ProfileCount,Run_Count,RunCount
1,0,0.1,0,0,0,0,1.44769522415242,0,0,0,0,0.1,0,0,0,0,1.44769522415242,0,0,0,0,0.1,0,0,0,0,0.730122796001446,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
2,0,0.1,0,0,0,0,1.63217196043697,0,0,0,0,0.1,0,0,0,0,1.63217196043697,0,0,0,0,0.50745415710761,0,0,0,0,1.55480993745335,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
3,0,0.143388194250166,0,0,0,0,1.78752773294119,0,0,0,0,0.143388194250166,0,0,0,0,1.78752773294119,0,0,0,0,1.51055921470227,0,0,0,0,2.1506185561698,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
4,0,1.60639843879283,0,0,0,0,1.98516495060772,0,0,0,0,1.60639843879283,0,0,0,0,1.98516495060772,0,0,0,0,2.24860139048045,0,0,0,0,2.90590372734651,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
5,0,2.64288188194159,0,0,0,0,2.50832678883647,0,0,0,0,2.64288188194159,0,0,0,0,2.50832678883647,0,0,0,0,3.06442933855315,0,0,0,0,3.97001744818763,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
6,0,3.33551235969872,0,0,0,0,3.01930415211522,0,0,0,0,3.33551235969872,0,0,0,0,3.01930415211522,0,0,0,0,4.02677392342354,0,0,0,0,5.12528529287868,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
7,0,4.38710414908696,0,0,0,0,4.32172680274497,0,0,0,0,4.38710414908696,0,0,0,0,4.32172680274497,0,0,0,0,4.88229112499168,0,0,0,0,5.9537945514643,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
8,0,6.13034719928379,0,0,0,0,5.53048087503546,0,0,0,0,6.13034719928379,0,0,0,0,5.53048087503546,0,0,0,0,5.49035084840627,0,0,0,0,6.3277844888719,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
9,0,6.76492130869391,0,0,0,0,6,0,0,0,0,6.76492130869391,0,0,0,0,6,0,0,0,0,6.08369347459895,0,0,0,0,6.68627146610611,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48772232906866,0,0,0,0,7.03240081972511,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
