Run,F1_HP_Clog_Type,F1_HP_Clog_Value1,F1_HP_Clog_Value2,F1_HP_Leak_Time,F1_HP_Leak_Profile,F1_LP_Clog_Type,F1_LP_Clog_Value1,F1_LP_Clog_Value2,F1_LP_Clog_LeakTime,F1_LP_Leak_Profile,F2_HP_Clog_Type,F2_HP_Clog_Value1,F2_HP_Clog_Value2,F2_HP_Clog_LeakTime,F2_HP_Clog_Profile,F2_LP_Clog_Type,F2_LP_Clog_Value1,F2_LP_Clog_Value2,F2_LP_Clog_LeakTime,F2_LP_Clog_Profile,C1_Clog_Type,C1_Clog_Value1,C1_Clog_Value2,C1_Clog_LeakTime,C1_Clog_LeakProfile,C2_Clog_Type,C2_Clog_Value1,C2_Clog_Value2,C2_Clog_LeakTime,C2_Clog_Profile,F1_HP_RampRate,F1_HP_RampTime,F1_LP_RampRate,F1_LP_RampTime,F2_HP_RampRate,F2_HP_RampTime,F2_LP_RampRate,F2_LP_RampTime,C1_RampRate,C1_RampTime,C1_RampRate1,C1_RampTime1,ProfileCount,Run_Count,RunCount
1,0,0.1,0,0,0,0,1.4583152245987,0,0,0,0,0.1,0,0,0,0,1.4583152245987,0,0,0,0,0.860114245354694,0,0,0,0,1.65594181046444,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
2,0,0.1,0,0,0,0,1.63696608731634,0,0,0,0,0.1,0,0,0,0,1.63696608731634,0,0,0,0,2.52443522154025,0,0,0,0,3.25032692866016,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
3,0,0.1,0,0,0,0,1.79618294074002,0,0,0,0,0.1,0,0,0,0,1.79618294074002,0,0,0,0,4.46421415274181,0,0,0,0,5.54839962423386,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
4,0,0.1,0,0,0,0,2.00111997229843,0,1,0,0,0.1,0,0,0,0,2.00111997229843,0,1,0,0,5.961480371823,0,0,0,0,6.5927603477101,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
5,0,0.1,0,0,0,0,2.5444981847826,0,1,0,0,0.1,0,0,0,0,2.5444981847826,0,1,0,0,6.7486887728194,0,0,0,0,7.28481451272583,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
6,0,0.1,0,0,0,0,3.10939967859525,0,1,0,0,0.1,0,0,0,0,3.10939967859525,0,1,0,0,7.49679538577916,0,0,0,0,7.78517552864219,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
7,0,0.449024437632541,0,0,0,0,4.47026878636153,0,1,0,0,0.449024437632541,0,0,0,0,4.47026878636153,0,1,0,0,7.6,0,0,0,0,7.8,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
8,0,1.11460161130644,0,0,0,0,5.62785822481288,0,1,0,0,1.11460161130644,0,0,0,0,5.62785822481288,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
9,0,1.87111439089631,0,0,0,0,6,0,1,0,0,1.87111439089631,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
