Run,F1_HP_Clog_Type,F1_HP_Clog_Value1,F1_HP_Clog_Value2,F1_HP_Leak_Time,F1_HP_Leak_Profile,F1_LP_Clog_Type,F1_LP_Clog_Value1,F1_LP_Clog_Value2,F1_LP_Clog_LeakTime,F1_LP_Leak_Profile,F2_HP_Clog_Type,F2_HP_Clog_Value1,F2_HP_Clog_Value2,F2_HP_Clog_LeakTime,F2_HP_Clog_Profile,F2_LP_Clog_Type,F2_LP_Clog_Value1,F2_LP_Clog_Value2,F2_LP_Clog_LeakTime,F2_LP_Clog_Profile,C1_Clog_Type,C1_Clog_Value1,C1_Clog_Value2,C1_Clog_LeakTime,C1_Clog_LeakProfile,C2_Clog_Type,C2_Clog_Value1,C2_Clog_Value2,C2_Clog_LeakTime,C2_Clog_Profile,F1_HP_RampRate,F1_HP_RampTime,F1_LP_RampRate,F1_LP_RampTime,F2_HP_RampRate,F2_HP_RampTime,F2_LP_RampRate,F2_LP_RampTime,C1_RampRate,C1_RampTime,C1_RampRate1,C1_RampTime1,ProfileCount,Run_Count,RunCount
1,0,0.1,0,0,0,0,1.45421393368068,0,0,0,0,0.1,0,0,0,0,1.45421393368068,0,0,0,0,0.1,0,0,0,0,0.88654206723723,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
2,0,0.1,0,0,0,0,1.63510874393394,0,0,0,0,0.1,0,0,0,0,1.63510874393394,0,0,0,0,0.695229517141868,0,0,0,0,1.60871953005579,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
3,0,0.1,0,0,0,0,1.79282034923733,0,0,0,0,0.1,0,0,0,0,1.79282034923733,0,0,0,0,1.61938761877236,0,0,0,0,2.25645064190671,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
4,0,0.1,0,0,0,0,1.99456275531186,0,0,0,0,0.1,0,0,0,0,1.99456275531186,0,0,0,0,2.40555710614899,0,0,0,0,3.09518015250056,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
5,0,0.1,0,0,0,0,2.53038429461654,0,0,0,0,0.1,0,0,0,0,2.53038429461654,0,0,0,0,3.29724395740237,0,0,0,0,4.27758704105146,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
6,0,0.1,0,0,0,0,3.07416091014326,0,0,0,0,0.1,0,0,0,0,3.07416091014326,0,0,0,0,4.27949853165978,0,0,0,0,5.3696055805666,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
7,0,0.1,0,0,0,0,4.41199330905159,0,0,0,0,0.1,0,0,0,0,4.41199330905159,0,0,0,0,5.13175604299199,0,0,0,0,6.10387411167176,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
8,0,0.1,0,0,0,0,5.5897582710008,0,0,0,0,0.1,0,0,0,0,5.5897582710008,0,0,0,0,5.76507937569893,0,0,0,0,6.50136812320103,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
9,0,0.1,0,0,0,0,6,0,0,0,0,0.1,0,0,0,0,6,0,0,0,0,6.27321752241197,0,0,0,0,6.85550361191964,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64652763705294,0,0,0,0,7.18512833136577,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,10
