,Cooling System 1 Flow,Fuel System 2  Injector Flow,Cooling System 2 Flow,Fuel System 1  Injector Flow,Fuel System 2  Service Flow,Fuel System 1  Service Flow,Fuel System 1  HP Relief Flow,Fuel System 2  HP Relief Flow
90,6.452,7.142,6.452,6.667,10.535,10.533,6.061,6.668
91,6.452,7.408,6.452,6.897,10.524,11.099,6.061,6.668
92,6.249,7.408,6.666,6.897,10.524,11.099,6.061,6.893
93,6.249,7.144,6.666,6.897,10.52,11.116,6.061,6.893
94,6.249,7.144,6.666,6.893,10.52,11.116,6.061,6.897
95,6.452,7.144,6.453,6.893,11.121,10.531,6.239,6.897
96,6.452,7.145,6.453,6.893,11.121,10.531,6.239,6.897
97,6.452,7.145,6.453,6.672,10.518,11.104,6.239,7.144
98,6.25,7.145,6.651,6.672,10.518,11.104,6.069,7.144
99,6.25,7.405,6.651,6.672,10.526,10.526,6.069,7.144
100,6.25,7.405,6.651,6.895,10.526,10.526,6.069,6.752
101,6.425,7.414,6.465,6.895,10.533,11.111,6.226,6.752
102,6.425,7.414,6.465,6.895,10.533,10.528,6.226,6.752
103,6.425,7.414,6.465,6.896,10.522,10.528,6.226,6.809
104,6.425,7.398,6.453,6.896,10.522,11.109,6.226,6.809
105,6.276,7.398,6.453,6.896,10.52,11.109,5.905,6.809
106,6.276,7.398,6.453,7.141,10.52,11.114,5.905,6.897
107,6.276,7.691,6.665,7.141,10.535,11.114,5.905,6.897
108,6.25,7.691,6.665,7.141,10.524,10.526,5.882,6.897
109,6.25,7.691,6.665,6.895,10.524,10.526,5.882,6.452
110,6.25,7.385,6.452,6.895,10.526,11.111,5.882,6.452
111,6.248,7.385,6.452,6.895,10.526,11.111,5.882,6.452
112,6.248,7.169,6.452,6.673,10.531,11.097,6.059,6.667
113,6.248,7.169,6.452,6.673,10.531,10.537,6.059,6.667
114,6.453,7.169,6.452,6.673,11.101,10.537,6.059,6.667
115,6.453,7.396,6.452,6.894,11.101,11.111,6.061,6.896
116,6.453,7.396,6.452,6.894,10.533,11.111,6.061,6.896
117,6.25,7.396,6.665,6.894,10.533,11.114,6.061,6.896
118,6.25,7.153,6.665,7.143,10.531,11.114,6.061,6.895
119,6.25,7.153,6.665,7.143,10.531,10.526,6.061,6.895
120,6.25,7.153,6.452,6.899,10.518,10.526,6.061,6.895
121,6.25,7.143,6.452,6.899,10.518,11.109,6.063,6.898
122,6.25,7.143,6.452,6.899,10.533,11.109,6.063,6.898
123,6.25,7.406,6.452,6.897,10.533,10.531,6.063,6.898
124,6.452,7.406,6.452,6.897,10.526,11.109,6.063,6.799
125,6.452,7.406,6.452,6.897,10.52,11.109,6.061,6.799
126,6.452,7.408,6.667,6.668,10.52,10.526,6.061,6.799
127,6.249,7.408,6.667,6.668,10.533,10.526,6.061,6.761
128,6.249,7.408,6.667,6.668,10.533,11.118,6.061,6.761
129,6.249,7.175,6.669,6.895,10.526,11.118,6.061,6.761
130,6.25,7.175,6.669,6.895,10.526,10.522,6.061,6.897
131,6.25,7.175,6.669,6.895,10.52,10.522,6.058,6.897
132,6.25,7.374,6.45,6.667,10.52,11.111,6.058,6.897
133,6.251,7.374,6.45,6.667,10.533,11.111,6.058,6.666
134,6.251,7.142,6.45,6.667,10.533,11.094,6.058,6.666
135,6.251,7.142,6.668,7.142,10.518,11.094,6.249,6.666
136,6.45,7.142,6.668,7.142,10.518,10.546,6.249,6.667
137,6.45,7.407,6.668,7.142,11.116,11.099,6.249,6.667
138,6.45,7.407,6.451,6.897,11.116,11.099,5.875,6.667
139,6.45,7.407,6.451,6.897,10.528,10.533,5.875,6.897
140,6.252,7.407,6.451,6.897,10.528,10.533,5.875,6.897
141,6.252,7.407,6.663,6.894,10.522,11.111,6.07,6.693
142,6.252,7.406,6.663,6.894,10.526,11.111,6.07,6.693
143,6.249,7.406,6.663,6.894,10.526,10.528,6.07,6.693
144,6.249,7.406,6.453,6.897,10.531,10.528,6.07,6.866
145,6.249,7.143,6.453,6.897,10.531,11.111,5.883,6.866
146,6.452,7.143,6.453,6.897,10.522,11.111,5.883,6.866
147,6.452,7.143,6.661,6.669,10.522,10.526,5.883,6.656
148,6.452,7.405,6.661,6.669,10.533,11.109,5.881,6.656
149,6.25,7.405,6.661,6.669,10.533,11.109,5.881,6.656
150,6.25,7.405,6.457,6.663,10.524,10.526,5.881,6.679
151,6.25,7.144,6.457,6.663,10.524,10.526,6.061,6.679
152,6.25,7.144,6.457,6.663,10.522,11.109,6.061,6.679
153,6.25,7.41,6.667,6.898,10.522,11.109,6.061,6.668
154,6.25,7.41,6.667,6.898,10.531,10.526,6.061,6.668
155,6.25,7.41,6.667,6.898,10.531,10.526,6.251,6.668
156,6.249,7.408,6.666,6.897,10.526,11.051,6.251,6.665
157,6.249,7.408,6.666,6.897,10.526,11.051,6.251,6.665
158,6.249,7.408,6.666,6.898,11.077,10.583,6.25,6.665
159,6.251,7.407,6.453,6.898,11.077,10.583,6.25,6.665
160,6.251,7.407,6.453,6.898,10.559,10.526,6.25,6.666
161,6.251,7.407,6.453,6.893,10.526,11.116,6.062,6.666
162,6.375,7.14,6.666,6.893,10.526,11.116,6.062,6.897
163,6.375,7.14,6.666,6.893,10.522,10.524,6.062,6.897
164,6.375,7.407,6.666,6.9,10.522,10.524,6.058,6.897
165,6.13,7.407,6.452,6.9,10.531,11.114,6.058,6.898
166,6.13,7.407,6.452,6.9,10.531,11.114,6.058,6.898
167,6.13,7.144,6.452,6.891,11.106,11.109,6.058,6.898
168,6.451,7.144,6.667,6.891,11.106,11.109,6.251,6.897
169,6.451,7.144,6.667,6.891,10.526,10.528,6.251,6.897
170,6.451,7.404,6.667,6.9,10.526,10.528,6.251,6.897
171,6.25,7.404,6.451,6.9,10.531,11.097,6.061,6.897
172,6.25,7.404,6.451,6.9,10.531,11.097,6.061,6.897
173,6.25,7.146,6.451,6.899,10.522,10.533,6.061,6.897
174,6.25,7.146,6.667,6.899,10.522,10.524,5.882,6.664
175,6.251,7.41,6.667,6.899,10.524,10.524,5.882,6.664
176,6.251,7.41,6.667,6.897,11.101,11.111,5.882,6.664
177,6.251,7.41,6.667,6.897,11.101,11.111,5.882,6.872
178,6.451,7.142,6.452,6.897,10.537,10.522,5.882,6.872
179,6.451,7.142,6.452,6.894,10.537,10.522,5.882,6.872
180,6.451,7.142,6.452,6.894,10.531,10.531,5.882,6.69
181,6.251,6.897,6.45,6.894,10.531,10.531,6.061,6.69
182,6.251,6.897,6.45,6.668,10.524,11.111,6.061,6.69
183,6.251,6.897,6.45,6.668,10.524,11.111,6.061,6.666
184,6.249,7.406,6.455,6.668,10.522,10.526,5.883,6.666
185,6.249,7.406,6.455,6.897,10.522,11.109,5.883,6.666
186,6.249,7.402,6.455,6.897,10.533,11.109,5.883,6.899
187,6.448,7.402,6.667,6.897,10.533,11.101,5.883,6.899
188,6.448,7.402,6.667,6.668,10.526,11.101,6.062,6.899
189,6.448,7.147,6.667,6.668,10.526,10.539,6.062,6.897
190,6.249,7.147,6.452,6.668,10.52,10.539,6.062,6.897
191,6.249,7.147,6.452,6.665,10.52,11.109,5.88,6.897
192,6.249,7.143,6.452,6.665,10.528,11.109,5.88,6.668
193,6.249,7.143,6.667,7.143,11.087,10.531,5.88,6.668
194,6.255,7.143,6.667,7.143,11.087,10.531,6.061,6.668
195,6.255,7.143,6.667,7.143,10.546,10.718,6.061,6.667
196,6.255,7.143,6.452,7.144,10.546,10.718,6.061,6.667
197,6.249,7.143,6.452,7.144,10.531,10.903,6.061,6.667
198,6.249,7.144,6.452,7.144,10.531,10.903,6.061,6.895
199,6.249,7.144,6.449,6.896,10.526,10.528,6.061,6.895
200,6.452,7.143,6.449,6.896,10.526,11.111,6.061,6.895
201,6.452,7.143,6.449,6.896,10.524,11.111,6.061,6.668
202,6.452,7.143,6.667,6.897,10.524,10.526,6.061,6.668
203,6.451,7.143,6.667,6.897,10.531,10.526,6.061,6.668
204,6.451,7.143,6.667,6.897,10.531,11.109,6.061,6.877
205,6.451,7.143,6.452,6.896,10.52,11.109,6.061,6.877
206,6.25,7.143,6.452,6.896,10.52,10.526,6.061,6.877
207,6.25,7.143,6.452,6.896,10.528,10.526,6.061,6.683
208,6.25,7.143,6.668,6.897,10.528,11.116,6.057,6.683
209,6.251,7.405,6.668,6.897,10.528,11.116,6.057,6.897
210,6.251,7.405,6.668,6.897,10.522,11.101,6.057,6.897
