,Utility Input Phase C,Utility Input Phase B,Utility Input Phase A,Gen 2 Phase C,Gen 2 Phase B,Gen 2 Phase A,Gen 3 Phase C,Gen 3 Phase B,Gen 3 Phase A,Gen 1 Phase C,Gen 1 Phase B,Gen 1 Phase A,Mission System 1 DC Amps,Mission System 2  DC Amps,Empty- CRIO1_Slot_1_Channel_14,Empty- CRIO1_Slot_1_Channel_15,Utility Input Phase A ,Utility Input Phase B ,Utility Input Phase C,Gen 3 Phase A ,Gen 3 Phase B ,Gen 3 Phase C,Gen 2 Phase A ,Gen 2 Phase B ,Gen 2 Phase C,MSB1 Phase A,MSB1 Phase B ,MSB1 Phase C ,Utility Input Neutral,Utility Input Ground,Propulsion System 1 VFD  Phase A ,Propulsion System 2 VFD Phase A,Fuel System 2  LP 1,Fuel System 1  LP 1 ,Empty- CRIO1_Slot_3_Channel_2,Empty- CRIO1_Slot_3_Channel_3,Cooling System 1 P 1,Cooling System 2 P 1,Cooling System 1 P 2,Cooling System 2 P 2,Fuel System 2  Injector Pump ,Fuel System 2  Service Pump ,Cooling System 2 Service Pump ,Fuel System 1  Injector Pump ,Fuel System 1  Service Pump ,Cooling System 1 Service Pump ,Cooling System 1 Heater,Cooling System 2 Heater
0,20.51875,20.440625,20.275,0.052499999999999214,0.05812499999999943,0.056250000000000466,7.84875,6.699375000000001,6.749999999999999,7.6706249999999985,8.77875,7.160625,-0.0531249999999997,0.30000000000000027,-0.25,-0.25,205.18125,205.8375,206.02499999999998,208.81875000000002,204.52499999999998,209.85,0.31875000000000653,0.4500000000000004,0.5249999999999921,202.33125,205.03125,204.9,0.06249999999999867,0.03500000000000003,0.45625000000000027,0.5199999999999999,2.6437500000000003,2.398125,-0.25,-0.25,4.836875000000001,4.773125,1.7462499999999999,1.6143750000000001,4.63,2.4075,4.881875,4.72375,2.2825,5.051875,2.276875,2.3031249999999996
1,20.515625,20.437499999999996,20.278125000000003,0.05437499999999984,0.05812499999999943,0.056250000000000466,7.84875,6.699375000000001,6.748125,7.655625000000001,8.77875,7.160625,-0.06250000000000006,0.3031250000000013,-0.25,-0.25,205.29375,205.50000000000003,205.76250000000002,208.38750000000002,203.6625,208.0125,-0.5624999999999963,-0.6750000000000006,-0.7124999999999965,201.45,203.02499999999998,202.85625000000002,0.06249999999999867,0.03500000000000003,0.45625000000000027,0.51875,2.5062499999999996,2.7356250000000006,-0.25,-0.25,4.868125,4.729375,1.7712499999999998,1.5993750000000002,4.6362499999999995,2.406875,4.881875,4.7275,2.28125,5.05375,2.2775,2.301875
2,20.515625,20.434375,20.278125000000003,0.05437499999999984,0.05812499999999943,0.05812499999999943,7.84875,6.699375000000001,6.749999999999999,7.653750000000001,8.780625,7.160625,-0.07500000000000007,0.3031250000000013,-0.25,-0.25,203.5125,204.15,204.2625,207.50625,203.4375,208.70625,-0.6562500000000027,-0.5062500000000025,-0.5250000000000005,201.91875,203.64375,203.92499999999998,0.06249999999999867,0.03500000000000003,0.4568749999999999,0.5193750000000003,2.66625,2.3649999999999998,-0.25,-0.25,4.804374999999999,4.7787500000000005,1.7443750000000002,1.6175000000000002,4.6375,2.406875,4.881875,4.73125,2.280625,5.054375,2.27875,2.30375
3,20.515625,20.434375,20.275,0.05437499999999984,0.05812499999999943,0.056250000000000466,7.84875,6.699375000000001,6.749999999999999,7.653750000000001,8.780625,7.160625,-0.06562499999999971,0.30000000000000027,-0.25,-0.25,205.57500000000002,206.55,206.9625,209.88750000000002,205.95,210.69375,0.9562500000000029,1.050000000000001,1.0312499999999947,204.0375,206.175,205.23749999999998,0.06249999999999867,0.03562500000000024,0.4568749999999999,0.5193750000000003,2.5106249999999997,2.8149999999999995,-0.25,-0.25,4.8475,4.72375,1.751875,1.6025,4.629375,2.40625,4.881875,4.724374999999999,2.281875,5.0512500000000005,2.2775,2.3025
4,20.51875,20.437499999999996,20.271875,0.05437499999999984,0.05812499999999943,0.056250000000000466,7.850624999999999,6.699375000000001,6.749999999999999,7.653750000000001,8.780625,7.160625,-0.06562499999999971,0.30000000000000027,-0.25,-0.25,206.1375,206.08124999999998,206.0625,209.28750000000002,205.29375,210.09375,0.8062500000000028,0.9000000000000008,0.6000000000000005,203.79375,204.99375,205.23749999999998,0.06249999999999867,0.03562500000000024,0.45625000000000027,0.5181249999999998,2.6968749999999995,2.4662499999999996,-0.25,-0.25,4.819375,4.72375,1.7537500000000001,1.6475,4.625,2.4043750000000004,4.885000000000001,4.722499999999999,2.28125,5.0525,2.2775,2.300625
5,20.51875,20.437499999999996,20.26875,0.05437499999999984,0.05812499999999943,0.056250000000000466,7.84875,6.70125,6.749999999999999,7.653750000000001,8.79375,7.160625,-0.06250000000000006,0.3031250000000013,-0.25,-0.25,205.38750000000002,205.93125,206.0625,208.85625,205.36874999999998,210.01875,0.5812499999999943,0.6374999999999964,0.43124999999999414,202.96875,205.275,204.61875,0.06249999999999867,0.03624999999999989,0.45750000000000013,0.5193750000000003,2.4012499999999997,2.8537500000000007,-0.25,-0.25,4.8325,4.73125,1.760625,1.61375,4.623125,2.405625,4.88375,4.722499999999999,2.280625,5.050625,2.27875,2.301875
6,20.490625,20.437499999999996,20.256249999999998,0.052499999999999214,0.05812499999999943,0.056250000000000466,7.84875,6.699375000000001,6.749999999999999,7.653750000000001,8.79375,7.160625,-0.06874999999999937,0.3031250000000013,-0.25,-0.25,205.29375,205.44375000000002,206.175,209.28750000000002,204.84375,209.38125,0.4500000000000004,0.6562500000000027,0.2625000000000044,202.78125,204.65624999999997,204.75,0.06249999999999867,0.03562500000000024,0.4568749999999999,0.5181249999999998,2.930625,2.1662500000000002,-0.25,-0.25,4.824375,4.7524999999999995,1.756875,1.6381250000000003,4.625,2.40375,4.881875,4.7231250000000005,2.28125,5.04875,2.27625,2.3012500000000005
7,20.490625,20.434375,20.253125,0.05437499999999984,0.05812499999999943,0.056250000000000466,7.84875,6.699375000000001,6.748125,7.655625000000001,8.795625000000001,7.160625,-0.0593750000000004,0.3031250000000013,-0.25,-0.25,205.36874999999998,205.5375,205.8,208.78125,204.35625,208.59375,-0.26249999999999607,-0.46874999999999833,-0.7687499999999986,201.41250000000002,202.95,203.15625000000003,0.06249999999999867,0.03562500000000024,0.45625000000000027,0.5175000000000002,2.2975000000000003,3.0181250000000004,-0.25,-0.25,4.839375,4.698124999999999,1.7725000000000002,1.6199999999999997,4.63375,2.4025000000000003,4.885000000000001,4.725625,2.28,5.051875,2.2775,2.2993750000000004
8,20.490625,20.437499999999996,20.25,0.052499999999999214,0.05812499999999943,0.056250000000000466,7.84875,6.70125,6.749999999999999,7.655625000000001,8.795625000000001,7.160625,-0.07187500000000041,0.30000000000000027,-0.25,-0.25,203.5875,203.98125,204.45,207.75,203.70000000000002,208.81875000000002,-0.7874999999999965,-0.43125000000000246,-0.48749999999999627,201.95625,203.83125,203.68124999999998,0.06249999999999867,0.03562500000000024,0.4568749999999999,0.51875,2.9000000000000004,2.598125,-0.25,-0.25,4.78875,4.73625,1.75,1.6075,4.6325,2.40375,4.88375,4.7250000000000005,2.28125,5.04875,2.2775,2.300625
9,20.490625,20.437499999999996,20.25,0.052499999999999214,0.05812499999999943,0.056250000000000466,7.850624999999999,6.70125,6.748125,7.653750000000001,8.795625000000001,7.160625,-0.06250000000000006,0.2906249999999999,-0.25,-0.25,205.21875,206.34375000000003,206.64375,209.60625000000002,205.48125,210.525,0.9749999999999925,0.9374999999999967,0.9374999999999967,204.01875,205.95,205.57500000000002,0.06249999999999867,0.03562500000000024,0.45625000000000027,0.5193750000000003,2.46,2.55625,-0.25,-0.25,4.878749999999999,4.8062499999999995,1.7475,1.6418749999999998,4.631875,2.4025000000000003,4.883125000000001,4.726875000000001,2.28125,5.046875,2.27625,2.300625
