,Energy Storage  DC Current ,Cooling System 1 Heater Input Temperature ,Propulsion System 1 Speed,Propulsion System 2 Speed ,Energy Storage Battery Temperature,Fuel System 1 Injection command ,Fuel System 2  Injection command ,Energy Storage Battery Bank Voltage,Cooling System 2  Heater Output Temperature,Cooling System 2 Heater Input Temperature ,Cooling System 1 Heater Output Temperature,Cooling System  Ocean Tank Temperature,Cooling System  Used H20 Tank,Empty- CRIO1_Slot_5_Channel_21,Empty- CRIO1_Slot_5_Channel_22,Empty- CRIO1_Slot_5_Channel_23,Fuel System 1 High Pressure Rail,Fuel System 2  High Pressure Rail,Propulsion System 1 DC Load Current ,Mission System 1  Voltage DC,Propulsion System 2 Voltage DC,Propulsion System 2 DC load Current ,Propulsion System 1 Voltage DC ,Mission System 2  Voltage DC
0,-0.5399999999999999,33.40305555555555,20.118000000000002,20.16,45.20641483516483,0.097,0.032,1.1063679245283025,33.63902097902097,33.11956834532374,34.10123287671233,30.13456445993031,32.02347222222222,0.0,0.001,0.001,157.64999999999998,157.75,-0.09,106.69999999999999,7.705,0.0,4.577,102.49999999999999
1,-0.48,35.68444444444444,19.902,20.436,45.20641483516483,0.025,0.012,1.1087264150943401,33.71720279720279,33.1505035971223,34.030547945205484,29.834912891986058,31.521805555555556,0.001,0.002,0.001,156.75,157.54999999999998,-0.21999999999999997,104.1,-2.737,0.19,8.349,103.35000000000001
2,-0.6,33.73152777777777,20.178,20.22,45.20821428571428,0.05,0.012,1.10306603773585,33.65706293706293,31.950215827338127,32.88191780821918,29.217630662020905,31.35458333333333,0.001,-0.012,0.001,156.15,159.85,-0.2,103.75000000000001,2.898,-0.55,1.403,102.64999999999999
3,-0.7799999999999999,34.65125,20.79,20.064,45.20641483516483,0.044,0.027,1.1077830188679254,33.284195804195804,31.962589928057554,32.52849315068494,29.43937282229965,31.67111111111111,0.001,0.0,0.001,157.10000000000002,157.35000000000002,-0.08,104.45,3.9559999999999995,0.07,3.68,102.25
4,-0.3,33.51055555555555,19.812,20.148,45.184821428571425,0.052,0.028,1.1082547169811328,32.82111888111887,32.25956834532374,32.9172602739726,29.493310104529616,31.796527777777776,0.001,0.0,0.001,159.05,154.15,-0.2,103.45,9.062000000000001,0.13,5.612,101.89999999999999
5,-0.38999999999999996,33.15819444444444,20.064,20.238,45.201016483516476,0.046,0.05,1.1087264150943401,32.86321678321678,33.435107913669064,34.12479452054795,29.876864111498257,32.18472222222222,0.0,0.0,0.001,160.6,154.6,-0.18,105.25,6.256,0.0,6.486,102.49999999999999
6,-0.32999999999999996,33.03277777777777,19.998,20.124000000000002,45.211813186813174,0.049,0.015,1.1099056603773594,33.98783216783217,33.73208633093525,34.4841095890411,30.18250871080139,32.34597222222222,0.001,0.001,0.001,161.39999999999998,148.9,-0.14,105.3,6.417000000000001,-0.13,3.9789999999999996,103.25
7,-0.51,32.99694444444444,20.094,20.418,45.186620879120866,0.045,0.032,1.1099056603773594,34.20433566433566,33.608345323741005,34.36041095890411,30.33233449477352,32.399722222222216,0.001,0.002,0.0,164.1,146.70000000000002,-0.2,105.35000000000001,8.073,0.29000000000000004,4.945,102.45
8,-0.36,33.01486111111111,19.68,20.154,45.19921703296703,0.02,0.006,1.110849056603774,34.138181818181806,33.527913669064745,34.419315068493155,30.33233449477352,32.36388888888889,0.001,0.001,0.001,163.85,146.15,-0.25,104.89999999999999,5.612,0.8,5.681,103.4
9,-0.48,32.95513888888888,19.902,20.201999999999998,45.211813186813174,0.0,0.033,1.1061320754716988,34.07202797202796,33.577410071942445,34.44287671232877,30.446202090592333,32.716249999999995,0.001,0.0,0.001,163.95,144.5,-0.07,104.60000000000001,1.6329999999999998,0.10999999999999999,5.6579999999999995,103.8
