,Propulsion System  Field Power Supply,Cooling System 1 Service Pump ,Fuel System 1  Injector Pump ,Fuel System 2  Service Pump ,Cooling System 2  Service Pump ,Empty- CRIO1_Slot_6_Channel_6,Electrical System SSB 1 to SSB 2 tie ,Propulsion System 2  VFD Power ,Electrical System Shore Tie,Cooling System 2 Heater ,Fuel System 1 Service Pump ,Cooling System 1  Heater ,Electrical System S2 C5 - Not in use ,Fuel System 2  Injector Pump ,Electrical System Main Input ,Cooling System 1  Leak Valve,Cooling System 2  Leak Valve,Fuel System 1 Leak Valve,Empty -  CRIO1_Slot_8_Channel_3,Fuel System  Cross Tie ,Cooling System  Cross Tie ,Empty -  CRIO1_Slot_8_Channel_6,Fuel System 2  Leak Valve,Mission System 1 Power Supply,Cooling System 1  Heater Enable,Cooling System 2  Heater Enable,Fuel System 1  Injection Control ,Mission System 2  Power Supply - Current Control,Fuel System 2  Rail Pressure Control ,Fuel System 1  Low Pressure Clog ,Fuel System 1  Rail Pressure Control ,Fuel System 2  Low Pressure Clog ,Cooling System 2  Low Pressure Clog ,Cooling System 1 Low Pressure Clog ,Fuel System 1  High Pressure Clog ,Fuel System 2  High Pressure Clog ,Cooling System 1 Heater Control ,Cooling System 2  Heater Control ,Fuel System 2  Injection Control ,Cooling System 1  Leak Valve,Cooling System 2  Leak Valve,Fuel System 1 Leak Valve,Empty -  CRIO1_Slot_8_Channel_3,Fuel System  Cross Tie ,Cooling System  Cross Tie ,Empty -  CRIO1_Slot_8_Channel_6,Fuel System 2  Leak Valve,Gen 1 start/stop,Gen 2 start/stop,Gen 3 start/stop,Propulsion System 1  Enable Forward,Propulsion System 1  Enable Reverse,Propulsion System 2  Enable Forward,Propulsion System 2  Enable Reverse,Empty CRIO2_Slot_5_Channel_7,Electrical System Relay - MSB1 to SSB1 ,Energy Storage MSB1 to Energy Storage ,Electrical System Relay - MSB2 to SSB2 ,Gen 1 MSB1 to Gen1,Electrical System Relay - MSB1 to MSB2,Propulsion Sytem 1  MSB1 to Prop1 ,Gen 3  MSB2 to Gen3,Gen 2 MSB2 to Gen2,Mission System 2  Power Supply Voltage Control,Empty- CRIO2_Slot_8_Channel_1,Gen 2 Voltage Regulator Gen2,Gen 1 Voltage Regulator Gen1,Gen 3  Voltage Regulator Gen3,"Propulsion System 1  Field Control, Prop1","Propulsion System 2 Field Control, Prop1",Gen 1  PID ERROR - DVFD1,Gen 2  PID ERROR - DVFD2,Gen 3  PID ERROR - DVFD3,Mission System 2 Current Control (Command) ,Propulsion System 1  Speed Control,Propulsion System 2  Speed Control,Empty- CRIO2_Slot_8_Channel_13,Mission System 1 Current Command ,Mission System 2  Current Command
0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1000.0,10000.0,8000.0,8000.0,8035.0,5000.0,7800.0,1851.0,76.0,0.231375,0.648625,4.093,0.1,1.0,23.650000000000002,23.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,0.0,0.95,0.95,0.95,0.0,0.0,0.0,0.0,-98.49999999999972,1151.499999999999,734.7499999999995,33.33,0.0,58.0,58.0,,,,,,,
1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1000.0,10000.0,8000.0,8000.0,8035.0,5000.0,7800.0,1851.0,76.0,0.231375,0.648625,4.093,0.1,1.0,23.650000000000002,23.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,0.0,0.95,0.95,0.95,0.0,0.0,0.0,0.0,-98.49999999999972,1151.499999999999,734.7499999999995,33.33,0.0,58.0,58.0,,,,,,,
2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1000.0,10000.0,8000.0,8000.0,8035.0,5000.0,7800.0,1851.0,76.0,0.231375,0.648625,4.093,0.1,1.0,23.650000000000002,23.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,0.0,0.95,0.95,0.95,0.0,0.0,0.0,0.0,-98.49999999999972,1151.499999999999,734.7499999999995,33.33,0.0,58.0,58.0,,,,,,,
3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1000.0,10000.0,8000.0,8000.0,8035.0,5000.0,7800.0,1851.0,76.0,0.231375,0.648625,4.093,0.1,1.0,23.650000000000002,23.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,0.0,0.95,0.95,0.95,0.0,0.0,0.0,0.0,-98.49999999999972,1151.499999999999,734.7499999999995,33.33,0.0,58.0,58.0,,,,,,,
4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1000.0,10000.0,8000.0,8000.0,8035.0,5000.0,7800.0,1851.0,76.0,0.231375,0.648625,4.093,0.1,1.0,23.650000000000002,23.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,0.0,0.95,0.95,0.95,0.0,0.0,0.0,0.0,-98.49999999999972,1151.499999999999,734.7499999999995,33.33,0.0,58.0,58.0,,,,,,,
5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1000.0,10000.0,8000.0,8000.0,8035.0,5000.0,7800.0,1851.0,76.0,0.231375,0.648625,4.093,0.1,1.0,23.650000000000002,23.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,0.0,0.95,0.95,0.95,0.0,0.0,0.0,0.0,-98.49999999999972,1151.499999999999,734.7499999999995,33.33,0.0,58.0,58.0,,,,,,,
6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1000.0,10000.0,8000.0,8000.0,8035.0,5000.0,7800.0,1851.0,76.0,0.231375,0.648625,4.093,0.1,1.0,23.650000000000002,23.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,0.0,0.95,0.95,0.95,0.0,0.0,0.0,0.0,-98.49999999999972,1151.499999999999,734.7499999999995,33.33,0.0,58.0,58.0,,,,,,,
7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1000.0,10000.0,8000.0,8000.0,8035.0,5000.0,7800.0,1851.0,76.0,0.231375,0.648625,4.093,0.1,1.0,23.650000000000002,23.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,0.0,0.95,0.95,0.95,0.0,0.0,0.0,0.0,-98.49999999999972,1151.499999999999,734.7499999999995,33.33,0.0,58.0,58.0,,,,,,,
8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1000.0,10000.0,8000.0,8000.0,8035.0,5000.0,7800.0,1851.0,76.0,0.231375,0.648625,4.093,0.1,1.0,23.650000000000002,23.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,0.0,0.95,0.95,0.95,0.0,0.0,0.0,0.0,-98.49999999999972,1151.499999999999,734.7499999999995,33.33,0.0,58.0,58.0,,,,,,,
9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1000.0,10000.0,8000.0,8000.0,8035.0,5000.0,7800.0,1851.0,76.0,0.231375,0.648625,4.093,0.1,1.0,23.650000000000002,23.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,0.0,0.95,0.95,0.95,0.0,0.0,0.0,0.0,-98.49999999999972,1151.499999999999,734.7499999999995,33.33,0.0,58.0,58.0,,,,,,,
