,SSB2 Voltage Waveform Phase C ,Fuel System 1  Injector Pump Current Waveform ,Fuel System 2  Injector Pump Current Waveform ,Cooling System 2 Service Pump Current Waveform,Cooling System 1 Service Pump Current Waveform,Energy Storage Current Waveform Phase A ,Gen 3 Current Waveform Phase B,Gen 3 Current Waveform Phase C,Energy Storage Current Waveform Phase B ,Energy Storage  Current Waveform Phase C ,Gen 3  Current Waveform Phase A ,MSB1 Voltage Waveform Phase A,Fuel System 1  Service Pump Current Waveform,Fuel System 2  Service Pump Current Waveform,MSB2 Voltage Waveform Phase B ,MSB1 Voltage Waveform Phase B,SSB1 Voltage Waveform Phase A,SSB2 Voltage Waveform Phase A,SSB2 Voltage Waveform Phase B,MSB2 Voltage Waveform Phase A,MSB2  Voltage Waveform Phase C,MSB1  Voltage Waveform Phase C,SSB1  Voltage Waveform Phase C ,SSB1  Voltage Waveform Phase B
0,56.01753641634847,2.150785509032008,2.070332185751509,0.8244944138028569,0.7892857807031088,0.799990209196828,2.385461559073756,3.565247973561396,4.010761724486799,3.0269899807447547,1.2500558247549296,7.021637675010607,1.1271869584289138,1.1400690950966725,38.57304483099986,55.02757742893509,27.1531607976241,8.336868901145525,58.87427520859851,32.50601046528073,63.59072267006082,61.68858718710226,42.42681374628766,68.97185688021496
1,59.305614481685765,2.0488779662100423,2.161512618802741,0.5353859829888681,1.0974315991967885,0.07026941026728893,2.4002551191300276,3.794548154433603,3.6323879768937055,3.432390424594498,1.446070495500525,17.21821524536841,0.9761762654336524,1.200072731680708,33.84245509828879,51.414227124876255,16.878800735398105,3.2173667090934805,57.707537830575596,33.1565549427238,69.00721255833687,66.85051619290059,43.96832131240277,67.57177202658747
2,63.901852637533594,1.8718806549929443,2.279510826280806,0.5086166838394247,1.3136742788414757,0.6162086746516107,2.318890538820535,4.049737065404283,3.021584641493425,3.508065174113117,1.7641320367103588,22.012445198698913,0.906064157971567,1.2055276077338022,23.865082732286808,41.549992928864384,9.729882619148635,13.314948380709941,53.58506576156131,45.57346909913733,63.85235468816292,61.91486352708245,50.96167444491585,60.55013435157687
3,68.48394852213266,1.6841562340051135,2.3546005946759387,0.39083176758187366,1.4920744895483429,1.2216066708005617,1.8639885670901908,4.083022575530894,2.6053735191410206,3.7080627264123245,2.248621128553246,31.92617734408146,0.6957278355853105,1.2437117401054611,16.8434450572762,32.612077499646446,2.4678263329090653,19.99717154575025,47.3553952764814,50.85560741055014,66.46160373355961,65.83934379861407,53.719417338424556,58.308584358648005
4,72.69127421863952,1.4696140385904493,2.3599641495613053,0.10172333676788495,1.729941437157499,1.7405192389282338,1.327722015050354,3.8759127347430953,2.232405110799256,3.886438921706211,2.5777778398052833,38.198274642907656,0.5231441864478691,1.2437117401054611,2.941592419742611,25.399519162777544,8.08937915429218,30.5897327110734,35.74459058124735,63.32201951633433,60.352142554094186,59.12883609107623,59.64502899165607,52.283976806675156
5,72.89633715174656,1.281889617602618,2.2419659420832403,0.29981615047376614,1.9515901837933034,2.189162396788617,0.987470133756113,3.7538658642788563,1.6486284716556252,3.7999534936849324,2.7885860706071504,46.67656625654081,0.377526732488153,1.1946178556276141,7.757035779946259,16.55352849667657,18.05968038466978,39.97312968462735,27.004666949512092,69.1839909489464,54.80837222457927,59.57431763541225,63.95842172252865,47.468533446471504
6,70.38608400509122,1.040529647761121,2.1186041797198083,0.7763096753338586,2.3678573421093265,2.64861623315166,0.36983900140678394,3.4247091530268188,1.059446493260664,3.6864413694070044,3.069663711676306,56.25795502757743,0.2049430833507116,1.112794714831202,15.514071559892518,6.017536416348466,30.193749116108044,44.64007919671899,20.386084005091217,72.42964220053742,48.62112855324566,63.61900721255834,68.7385094046104,42.19346627068307
7,67.36670909348041,0.8152603425757237,2.054241521095409,0.9744024890397399,2.7462820314875294,2.9242885349694863,0.49928265189915827,2.8514587008463037,0.19459221304787702,3.172934140530662,3.347042962731394,60.45820958845991,0.11325801974644588,1.0091520698224137,19.806250883891956,0.19092066185829445,36.30321029557347,49.64644321878094,13.329090651958706,66.29189647857446,47.836232498939324,61.8229387639655,68.95064347334181,36.97496817988969
8,59.88544760288502,0.5953545922756929,1.8450628805661113,1.2795724993433946,2.903057974229928,3.216176854541301,0.9763749637139095,2.6406504700444366,0.6270193531542705,2.65942691165432,3.6170254337583465,66.79394710790552,0.005393239035545042,0.8018667798048368,33.764672606420596,13.307877245085562,45.45325979352285,56.78121906378165,0.5939753924480272,73.33474756045823,29.6846273511526,53.316362607834826,65.8252015273653,25.55508414651393
9,56.39230660444068,0.3271768480073628,1.6573384595782803,1.525850051518274,2.843591237327639,3.491849156359127,1.3573091351628968,2.522301989594266,1.3675508305864692,2.232405110799256,3.887007904785298,64.94838070994203,0.07550534649763058,0.5782168616279776,38.11342101541508,19.346627068307175,50.353556781219076,60.32385801159667,5.190213548295857,70.61236034507144,28.065337293169282,46.59171262904823,60.76933955593269,17.416207042851084
